div,12087
/div,8710
a,6890
span,6092
li,3462
the,3192
/,2925
--,2836
to,2442
px,2249
/a,2222
/li,2205
/span,2177
and,1827
var,1819
meta,1671
script,1645
of,1635
in,1555
img,1449
if,1398
h,1205
link,1160
p,1140
for,1105
lia,1088
-,1067
ul,1063
typebutton,969
on,961
button,957
width,949
/ul,905
targetblank,852
typetext/javascript,833
false,817
this,816
/script,810
function,793
height,793
is,783
classicon,764
with,709
i,672
input,656
'',646
by,638
you,638
your,633
/div--,610
